Arado,C_Maleza,Bloque,Produccion
MIN,TOT,1,11.614
MIN,TOT,2,9.283
MIN,TOT,3,7.019
MIN,TOT,4,8.015
MIN,PART,1,5.117
MIN,PART,2,4.306
MIN,PART,3,8.94
MIN,PART,4,5.617
SP,TOT,1,10.019
SP,TOT,2,8.686
SP,TOT,3,8.904
SP,TOT,4,8.956
SP,PART,1,7.975
SP,PART,2,8.355
SP,PART,3,7.99
SP,PART,4,9.581
DP,PART,1,11.477
DP,PART,2,10.671
DP,PART,3,10.567
DP,PART,4,9.8
DP,TOT,1,10.111
DP,TOT,2,8.784
DP,TOT,3,7.927
DP,TOT,4,10.005
